Narthang,Pecing,Derge,Cone,Lhasa,Urga,,,,,,
790,2001,1109,1057,,,,,,,,
791,2002,1110,1058,,,,,,,,
792,2003,1111,1059,,,,,,,,
793,2004,1112,1060,,,,,,,,
794,2005,1113,1061,,,,,,,,
795,2006,1114,1062,,,,,,,,
796,2007,1115,1063,,,,,,,,
797,2008,1116,1064,,,,,,,,
798,2009,1117,1065,,,,,,,,
799,2010,1118,1066,,,,,,,,
800,2011,1119,1067,,,,,,,,
801,2012,1120,1068,,,,,,,,
802,2013,1121,1069,,,,,,,,
803,2014,1122,1070,,,,,,,,
804,2015,1123,1071,,,,,,,,
805,2016,1124,1072,,,,,,,,
806,2017,1125,1073,,,,,,,,
,,1126,,,,,,,,,
807,2018,1127,1074,,,,,,,,
808,2019,1128,1075,,,,,,,,
809,2020,1129,1076,,,,,,,,
810,2021,1130,1077,,,,,,,,
811,2022,1131,1078,,,,,,,,
812,2023,1132,1079,,,,,,,,
813,2024,1133,1080,,,,,,,,
814,2025,1134,1081,,,,,,,,
815,2026,1135,1082,,,,,,,,
816,2027,1136,1083,,,,,,,,
817,2028,1137,1084,,,,,,,,
818,2029,1138,1085,,,,,,,,
819,2030,1139,1086,,,,,,,,
820,2031,1140,1087,,,,,,,,
821,2032,1141,1088,,,,,,,,
822,2033,1142,1089,,,,,,,,
823,2034,1143,1090,,,,,,,,
824,2035,1144,1091,,,,,,,,
825,2036,1145,1092,,,,,,,,
826,2037,1146,1093,,,,,,,,
827,2038,1147,1094,,,,,,,,
828,2039,1148,1095,,,,,,,,
829,2040,1149,1096,,,,,,,,
830,2041,1150,1097,,,,,,,,
831,2042,1151,1098,,,,,,,,
832,2043,1152,1099,,,,,,,,
,,1153,,,,,,,,,
852,2062,1154,1119,,,,,,,,
833,2044,1155,1100,,,,,,,,
834,2045,1156,1101,,,,,,,,
835,2046,1157,1102,,,,,,,,
836,2047,1158,1103,,,,,,,,
837,2048,1159,1104,,,,,,,,
838,2049,1160,1105,,,,,,,,
839,2050,1161,1106,,,,,,,,
840,2051,1162,1107,,,,,,,,
841,2052,1163,1108,,,,,,,,
842,2053,1164,1109,,,,,,,,
843,2054,1165,1110,,,,,,,,
844,2055,1166,1111,,,,,,,,
845,2056,1167,1112,,,,,,,,
846,2057,1168,1113,,,,,,,,
847,2058,1169,1114,,,,,,,,
848,2059,1170,1115,,,,,,,,
849,,1171,1116,,,,,,,,
850,2060,1172,1117,,,,,,,,
851,2061,4500,1118,,,,,,,,
852,2062,1154,1119,,,,,,,,
853,2063,4501,1120,,,,,,,,
,,1173,,,,,,,,,
3633,4844,1174,,,,,,,,,
,,1175,,,,,,,,,
3831,5043,1176,,,,,,,,,
3832,5044,1177,,,,,,,,,
,,1178,,,,,,,,,
,,1179,,,,,,,,,
1105,2310,1180,1121,,,,,,,,
1114,2319,1189,1129,,,,,,,,
1116,2321,1190,1131,,,,,,,,
1115,2320,1191,1132,,,,,,,,
1116,2321,1190,1131,,,,,,,,
1117,2322,1192,1133,,,,,,,,
1118,2323,1193,1134,,,,,,,,
1119,2324,1194,1135,,,,,,,,
1120,2325,1195,1136,,,,,,,,
1121,2326,1196,1137,,,,,,,,
1122,2327,1197,1138,,,,,,,,
1123,2328,1198,1139,,,,,,,,
1124,2329,1199,1140,,,,,,,,
1125,2330,1200,1141,,,,,,,,
1126,2331,1201,1142,,,,,,,,
1127,2332,1202,1143,,,,,,,,
1128,2333,1203,1144,,,,,,,,
1129,2334,1204,1145,,,,,,,,
1130,2335,1205,1146,,,,,,,,
1131,2336,1206,1147,,,,,,,,
1132,2337,1207,1148,,,,,,,,
1133,2338,1208,1149,,,,,,,,
1134,2339,1209,1150,,,,,,,,
1135,2340,1210,1151,,,,,,,,
1136,2341,1211,1152,,,,,,,,
1137,2342,1212,1153,,,,,,,,
1138,2343,1213,1154,,,,,,,,
1139,2344,1214,1155,,,,,,,,
,,1215,1156,,,,,,,,
1140,2345,1216,1157,,,,,,,,
1141,2346,1217,1158,,,,,,,,
1142,2347,1218,1159,,,,,,,,
1143,2348,1219,1160,,,,,,,,
1144,2349,1220,1161,,,,,,,,
1145,2350,1221,1162,,,,,,,,
1146,2351,1222,1163,,,,,,,,
1147,2352,1223,1164,,,,,,,,
1148,2353,1224,1165,,,,,,,,
1149,2354,1225,1166,,,,,,,,
1150,2355,1226,1167,,,,,,,,
1151,2356,1227,1168,,,,,,,,
1152,2357,1228,1169,,,,,,,,
